,Date,Total,Boston,New York,Philadelphia,Cleveland,Richmond,Atlanta,Chicago,St. Louis,Minneapolis,Kansas,Dallas,San
0,"July 2, 2020","7,009,040","175,520","3,990,690","148,669","248,429","408,664","401,687","362,290","86,759","56,197","93,321","294,917","741,895"
0,"July 9, 2020","6,920,716","153,875","3,912,235","147,938","246,309","416,838","402,506","365,430","87,827","55,957","92,076","295,940","743,784"
0,"July 16, 2020","6,958,604","157,085","4,027,607","145,962","229,500","407,999","403,187","351,500","86,578","55,321","91,676","293,861","708,328"
0,"July 23, 2020","6,964,755","152,835","4,125,554","143,961","225,723","393,949","388,031","348,962","83,766","53,738","89,247","284,660","674,329"
0,"July 30, 2020","6,949,032","158,364","4,078,543","141,678","231,790","414,920","388,824","349,266","83,009","53,780","87,801","282,942","678,116"
0,"June 4, 2020","7,165,217","182,700","4,012,663","155,660","243,904","541,693","388,953","355,485","87,907","57,035","95,109","315,349","728,758"
0,"June 11, 2020","7,168,936","171,014","4,044,010","155,519","250,906","499,295","391,211","358,011","88,227","55,773","94,021","316,160","744,789"
0,"June 18, 2020","7,094,690","163,958","4,054,597","151,483","239,444","469,759","392,854","350,643","87,409","54,689","92,115","303,299","734,442"
0,"June 25, 2020","7,082,302","159,991","4,082,382","145,941","231,319","476,211","393,454","356,285","87,657","54,593","90,803","298,871","704,795"
0,"May 7, 2020","6,721,420","145,250","3,746,631","148,236","205,621","533,176","379,184","357,882","87,695","49,887","94,591","306,591","666,677"
0,"May 14, 2020","6,934,227","139,879","3,934,325","152,820","213,966","519,579","390,894","362,801","88,886","50,415","94,458","311,396","674,810"
0,"May 21, 2020","7,037,258","139,482","4,006,469","153,311","221,030","557,923","377,224","370,030","88,031","56,606","93,711","311,700","661,741"
0,"May 28, 2020","7,097,316","139,736","4,013,851","154,293","226,856","568,904","384,804","372,504","88,649","56,870","93,954","317,638","679,257"
0,"April 2, 2020","5,811,607","168,415","3,042,450","137,784","184,421","454,219","356,400","361,494","78,713","46,919","90,320","296,346","594,126"
0,"April 9, 2020","6,083,141","152,019","3,358,266","136,433","180,370","489,574","350,794","357,082","78,172","44,558","87,813","293,112","554,948"
0,"April 16, 2020","6,367,887","161,518","3,465,898","141,801","208,583","519,020","364,691","350,394","84,009","47,770","91,816","309,224","623,161"
0,"April 23, 2020","6,573,136","139,467","3,722,589","142,146","196,607","527,338","371,022","348,863","82,775","47,204","89,348","300,186","605,590"
0,"April 30, 2020","6,655,929","146,955","3,769,296","142,727","194,997","527,044","377,014","359,359","84,460","50,002","90,582","305,089","608,403"
0,"March 5, 2020","4,241,507","127,801","2,122,739","104,894","131,600","263,329","319,284","240,733","72,102","43,420","70,797","212,286","532,523"
0,"March 12, 2020","4,311,911","108,261","2,152,649","105,972","135,387","272,150","319,244","267,603","71,526","42,987","71,379","216,601","548,153"
0,"March 19, 2020","4,668,212","123,777","2,355,967","114,858","154,892","305,792","319,990","310,939","71,511","43,165","76,482","216,085","574,753"
0,"March 26, 2020","5,254,278","144,659","2,707,233","132,985","176,866","355,473","340,299","343,724","74,218","44,686","81,715","281,198","571,221"
0,"February 6, 2020","4,166,707","97,676","2,202,410","89,074","132,059","252,525","308,648","223,863","68,934","39,968","68,504","203,043","480,005"
0,"February 13, 2020","4,182,689","88,544","2,206,413","90,639","136,561","249,557","310,399","226,488","69,287","40,291","68,930","203,512","492,069"
0,"February 20, 2020","4,171,570","98,296","2,202,142","92,198","131,181","246,909","307,618","227,812","68,970","40,396","68,954","203,068","484,026"
0,"February 27, 2020","4,158,637","96,454","2,124,083","96,341","130,440","262,681","312,820","237,825","71,140","42,918","70,766","206,125","507,044"
0,"January 2, 2020","4,173,626","109,783","2,101,766","85,660","141,664","277,824","317,286","252,325","70,652","41,982","74,650","204,943","495,092"
0,"January 9, 2020","4,149,544","89,741","2,147,855","90,191","128,812","250,404","313,085","237,596","69,245","41,119","70,124","202,872","508,499"
0,"January 16, 2020","4,175,850","101,714","2,169,990","90,383","127,726","259,680","310,795","236,986","68,872","40,518","69,791","202,770","496,625"
0,"January 23, 2020","4,145,912","94,238","2,191,921","89,843","126,098","254,549","304,046","226,197","67,331","40,138","67,900","195,309","488,343"
0,"January 30, 2020","4,151,630","92,509","2,222,508","86,705","124,282","251,427","301,805","228,501","66,949","39,999","67,759","195,476","473,711"
